,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
2920,NZURR-,30994,21058,4330,1821,76807059,12475,448,6151,1905
2921,XMG-ONE,24238,16648,2905,1518,57578579,10976,210,4423,1362
2922,IMystic_2Siick,11924,9179,1618,995,29564287,3736,103,2613,742
2923,maxjam333,3909,2918,421,274,8666048,1297,40,695,211
2924,Exdran-,27579,23295,3642,2655,78500954,9763,132,6297,1870
2925,lubgreg,2751,2262,287,155,5589774,1090,57,442,159
2926,aliwrj,16303,11947,1609,1255,44874942,6008,228,2864,948
2927,Sider-zV,21218,17250,2152,1589,46635357,8070,468,3741,1145
2928,EasyKvrma,19449,11173,2643,1529,45944528,6552,645,4172,961
2929,xXvR4Nt3RvXx,3788,2395,357,229,8082542,1806,96,586,179
2930,ASmurfsShadow,47823,43526,5172,4185,115849239,17996,919,9357,2855
2931,ZombieSlasher435,30070,24325,3930,2121,70803711,9508,882,6051,1767
2932,YesRipper,4411,2854,520,360,10825361,1529,64,880,246
2933,l_ScreaMl,33558,26261,3505,2667,82652704,11662,970,6172,2022
2934,Naqshab,32235,29864,4161,3382,78176981,11712,647,7543,2242
2935,LessFade,6587,4091,749,412,14501176,2006,22,1161,377
2936,Eviljeromejr_YT,1758,2287,306,240,5367114,634,76,546,160
2937,BBigRickk,21787,19050,2476,2139,53276347,10070,399,4615,1296
2938,zHxyZz,23991,18316,2807,2182,58384240,8372,383,4989,1539
2939,iSuih,31243,18796,4874,2181,70870720,10896,417,7055,1863
2940,lxl-PH0ENIX-IxI,55721,45277,6963,5131,153227980,20107,906,12094,3998
2941,Amxsedly,33026,25180,4012,2126,84834640,14486,347,6138,1896
2942,Windara60,13210,11780,1578,1107,38640802,5231,175,2685,872
2943,Tchuk2,1224,690,138,66,2730702,420,19,204,54
2944,yNachuh,960,587,105,41,2098701,318,2,146,44
2945,FRGF_Fantom,19392,18579,2241,1854,46997431,9085,333,4095,1273
2946,Fameii_THC,20281,16896,2369,2015,56379143,7320,414,4384,1360
2947,Rhypzz,41131,36426,4909,4283,116282135,14473,712,9192,2628
